name,artist,uri,key,mode,acousticness,danceability,energy,liveness,loudness,tempo,valence,popularity
Fireworks (I'm The One),ATEEZ,spotify:track:0rNLaGUleZ91DXMxmZNq5v,0,1,0.0419,0.724,0.904,0.163,-3.815,130.036,0.728,76
Dynamite,BTS,spotify:track:0v1x6rN6JHRapa03JElljE,6,0,0.0112,0.746,0.765,0.0936,-4.41,114.044,0.737,20
LOVE% (feat. DAWN),DEMIAN,spotify:track:2bR7KFQESL278uZAc1vb4U,1,1,0.0362,0.758,0.759,0.101,-4.669,104.703,0.808,61
PARANOIA,KANG DANIEL,spotify:track:1Q6lzzQHM5dvtTCwcfeKDy,0,0,0.0513,0.633,0.735,0.259,-3.042,97.03,0.558,70
INCEPTION,ATEEZ,spotify:track:7zC6xvBPnIC92K06pMpstY,4,0,0.108,0.607,0.886,0.31,-3.77,149.941,0.616,68
Runner (feat. CHANGMO),T1,spotify:track:5QwLHJDelqEuMEEOT4oLy9,1,0,0.0276,0.588,0.786,0.0855,-6.083,150.025,0.465,53
YOU,CHECKMATE,spotify:track:5Y4qbT24GVxebKurZcgaQ0,1,0,0.103,0.566,0.81,0.0934,-2.888,159.853,0.429,44
Life Goes On,BTS,spotify:track:249gnXrbfmV8NG6jTEMSwD,1,1,0.00691,0.566,0.716,0.37,-5.733,81.068,0.45,89
The Leaders,ATEEZ,spotify:track:52Sj1SUJ6FNceKLZVggVak,0,0,0.0265,0.765,0.929,0.0523,-4.566,144.03,0.672,64
Waves (feat. Simon Dominic & Jamie),KANG DANIEL,spotify:track:6fXesHsuCFf80vYzDP26J5,2,1,0.0854,0.832,0.829,0.105,-3.461,107.012,0.555,56
Savage Love (Laxed – Siren Beat) [BTS Remix],Jawsh 685,spotify:track:4TgxFMOn5yoESW6zCidCXL,0,0,0.16,0.758,0.598,0.295,-5.695,149.836,0.658,81
蹦,LAY,spotify:track:3hMloFxH6H01hhr1K6XlDc,7,1,0.0305,0.833,0.682,0.0815,-4.066,94.028,0.65,44
YES,DEMIAN,spotify:track:34Lx0rSnk1mCMkbJHMQAJG,11,1,0.634,0.414,0.521,0.322,-8.067,109.65,0.228,47
DI SINI,MassMusic,spotify:track:08hG3wYYh22WVv7YqnsXkT,5,1,0.422,0.616,0.653,0.0952,-5.432,145.046,0.311,28
Time Of Love,ATEEZ,spotify:track:7CXXE0TJeCjsVIKnnATvmJ,7,1,0.0122,0.646,0.851,0.0629,-4.93,168.016,0.672,61
EXIT,T1419,spotify:track:5pTMVpOuFCM1GYjI2Lm2r3,1,0,0.0902,0.676,0.878,0.0724,-2.628,174.001,0.453,46
What You Waiting For,SOMI,spotify:track:4CoxD8tetisleUQDA7vn1B,8,1,0.0164,0.765,0.688,0.112,-5.072,121.901,0.794,67
Don't follow me,Untell,spotify:track:64Q3cFtUxPzamXkk96VJmi,5,0,0.0023,0.6,0.716,0.271,-4.01,120.117,0.2,22
HOLO,LeeHi,spotify:track:7Acvy2L38SCipAeMPOK8Ro,6,1,0.768,0.406,0.474,0.106,-6.349,179.914,0.206,65
Take Me Home - English Version,ATEEZ,spotify:track:3kHTeY85lTphKnBVXdX1Tz,5,0,0.033,0.632,0.893,0.441,-3.626,98.0,0.315,61
Goblin (Favorite Boys),A.C.E,spotify:track:0QTx81gggSfDhmmdjpCfrT,11,0,0.0162,0.351,0.881,0.43,-3.66,202.248,0.665,56
How You Like That,BLACKPINK,spotify:track:4SFknyjLcyTLJFPKD2m96o,11,1,0.0465,0.812,0.761,0.0601,-5.222,130.032,0.344,82
DRUM (New),CHECKMATE,spotify:track:6H9mAAtNqdTyTe29Cx6sGC,0,0,0.0028,0.689,0.94,0.373,-2.057,115.034,0.849,29
Celebrate,ATEEZ,spotify:track:1ptZH0pgnIjSG2mUYvMUjB,0,1,0.172,0.67,0.883,0.352,-4.19,80.012,0.887,60
Boy With Luv (feat. Halsey),BTS,spotify:track:5KawlOMHjWeUjQtnuRs22c,11,0,0.0923,0.645,0.862,0.192,-4.757,119.991,0.798,84
Answer,ATEEZ,spotify:track:3IdPtyJHB1WVPM4eCiCAKM,7,1,0.0746,0.565,0.903,0.359,-1.918,97.967,0.538,69
LOST IN PARADISE,ALI,spotify:track:7kRKlFCFLAUwt43HWtauhX,6,0,0.0961,0.648,0.904,0.0629,-4.565,121.994,0.728,78
Take Me Home,ATEEZ,spotify:track:0Fj5sQ4V4fYGVOxkoNUxz1,0,0,0.0349,0.636,0.893,0.458,-3.343,98.026,0.413,64
Ready Or Not,MOMOLAND,spotify:track:0Sp0RwhaE0CdJE8ctmXk4U,11,1,0.00954,0.725,0.901,0.28,-1.8,125.022,0.558,57
God’s Menu,Stray Kids,spotify:track:0RzT9tBLcQhofW2TNiHP9B,5,1,0.00776,0.689,0.771,0.521,-3.618,157.052,0.482,77
WANNABE,ITZY,spotify:track:6tCssnvTUREcperDOUTqvA,6,0,0.00795,0.809,0.911,0.181,-4.41,122.035,0.64,78
Fly To My Room,BTS,spotify:track:3QH8rQGNFX8VLbCgZ7uPTS,11,1,0.0484,0.764,0.526,0.0718,-7.355,114.91,0.588,80
FANTASIA,Monsta X,spotify:track:59lh6XYTsfhoXXTNU8TUrz,9,1,0.0221,0.738,0.952,0.231,-1.95,125.963,0.544,63
STALKER,3YE,spotify:track:4WCg4g0lMTZxyFC19W0DHF,1,0,0.0321,0.77,0.919,0.601,-2.298,119.97,0.799,51
I'm The One - HEAT-TOPPING Version,ATEEZ,spotify:track:4h8DDTLayF06jMWIPJlBb3,10,1,0.0761,0.719,0.674,0.0883,-6.045,142.036,0.664,59
"Facetime, Face me",msftz,spotify:track:5sfllcrldlTgHpCzCVyHtc,6,1,0.867,0.358,0.186,0.119,-9.07,140.668,0.252,35
A few miles (feat. Jiselle),Kim Seungmin,spotify:track:6pmBIOPzsLunrjEPGlyHoP,6,0,0.0686,0.708,0.514,0.106,-5.302,100.025,0.513,34
Make you happy,NiziU,spotify:track:4FrxgrNbNrdfq8093JaEJf,7,1,0.0436,0.78,0.885,0.105,-3.745,160.087,0.808,52
Monster,Red Velvet - IRENE & SEULGI,spotify:track:6c1QaQHdDhtFMfUkhueuXK,4,0,0.212,0.631,0.748,0.537,-2.569,115.665,0.351,73
Lil Time (feat. AUDREY NUNA),Haeil,spotify:track:3aOGlatJNFnKCkxc7ZCoLQ,11,1,0.331,0.663,0.592,0.496,-8.112,71.999,0.504,42
Endless Summer,CIKI,spotify:track:7zYbBJmAgeaBoG9zMOml7j,7,1,0.0163,0.811,0.536,0.109,-8.839,117.981,0.478,44
Downtown Baby,BLOO,spotify:track:3595XlbamLTV4iFYNHrqTC,4,0,0.349,0.55,0.618,0.109,-5.606,177.887,0.279,58
Pretty Savage,BLACKPINK,spotify:track:1XnpzbOGptRwfJhZgLbmSr,9,0,0.00886,0.701,0.556,0.106,-7.42,152.045,0.333,79
Bon voyage,YooA,spotify:track:4X95Ecd1elHxTccGOko02c,2,1,0.307,0.703,0.889,0.117,-3.537,119.793,0.273,57
Animal Print,홍크 Honk,spotify:track:7rPWpr55FFECcSfqB91CzW,0,0,0.443,0.517,0.413,0.106,-11.537,101.954,0.072,11
pporappippam 보라빛 밤,SUNMI,spotify:track:7oQh96s9YemWG3A4zkIbrU,1,0,0.0513,0.714,0.828,0.0347,-4.68,120.014,0.318,67
Ice Cream (with Selena Gomez),BLACKPINK,spotify:track:4JUPEh2DVSXFGExu4Uxevz,9,1,0.0317,0.79,0.701,0.0311,-4.81,159.972,0.91,76
MORE & MORE,TWICE,spotify:track:3omvXShuRPM3zbDpWYqf5g,5,1,0.0312,0.739,0.841,0.173,-4.162,106.99,0.562,74
Daechwita,Agust D,spotify:track:0H4ugk6rhnXmTl47ayy9O5,8,1,0.0229,0.65,0.827,0.121,-4.014,144.995,0.223,78
Nonstop,OH MY GIRL,spotify:track:5joNJn9LUvYcamWwa2iYCL,0,1,0.171,0.753,0.91,0.367,-2.591,123.983,0.825,68
SOLO,JENNIE,spotify:track:2wVDWtLKXunswWecARNILj,3,0,0.0861,0.751,0.642,0.0953,-5.165,95.045,0.388,74
DRUM,CHECKMATE,spotify:track:5NPDph2CghM8ik85enI6IA,0,0,0.00407,0.697,0.949,0.35,-1.865,115.014,0.869,43
Blue & Grey,BTS,spotify:track:0n2moJpAEWHwaPYYjkzMDl,8,1,0.42,0.547,0.605,0.125,-6.755,121.953,0.364,81
Sukhumvit Swimming,ONF,spotify:track:1qPSuxDxEWzLoi6WlLN7N1,0,1,0.0969,0.592,0.781,0.144,-3.434,149.996,0.919,52
Bad Alive - English Version,WayV,spotify:track:333mEOj0mFwb6QAu1MmaqL,3,0,0.0017,0.667,0.84,0.332,-3.363,142.014,0.575,0
overdose,CIKI,spotify:track:3B4Rxj4UItYuHyppE8S0gU,6,1,0.832,0.737,0.492,0.301,-10.197,90.984,0.702,51
DESSERT,HYO,spotify:track:6u0pZe0Uv7GBR0iKptfWRf,2,1,0.0586,0.713,0.927,0.373,-3.28,115.072,0.618,65
Breath;(Blood Night) - Oriental Version,G-reyish,spotify:track:3xVYOr56PkUagFjKnT6IZp,6,0,0.156,0.603,0.874,0.172,-2.04,131.794,0.34,16
